公司代號,出表日期,公司名稱,產業別,當月營收,上月營收
3060,1110912,銘異,電腦及週邊設備業,249108,227236
3062,1110912,建漢,通信網路業,638623,606135
3090,1110912,日電貿,電子零組件業,764649,922482
3092,1110912,鴻碩,電子零組件業,247190,295429
3094,1110912,聯傑,半導體業,26385,27352
3130,1110912,一零四,資訊服務業,190253,194456
3138,1110912,耀登,通信網路業,165994,151516
3149,1110912,正達,光電業,229172,224365
3164,1110912,景岳,生技醫療業,32210,18103
3167,1110912,大量,電機機械,163116,225273
3189,1110912,景碩,半導體業,3868932,3762744
3209,1110912,全科,電子通路業,5017486,6345141
3229,1110912,晟鈦,電子零組件業,82120,92877
3231,1110912,緯創,電腦及週邊設備業,76876839,79684558
3257,1110912,虹冠電,半導體業,35810,40597
3266,1110912,昇陽,建材營造,31351,133554
3296,1110912,勝德,電子零組件業,265384,267669
3305,1110912,昇貿,其他電子業,642761,670145
3308,1110912,聯德,電子零組件業,23217,18857
3311,1110912,閎暉,通信網路業,179512,171920
3312,1110912,弘憶股,電子通路業,1580078,1589595
3321,1110912,同泰,電子零組件業,104049,124415
3338,1110912,泰碩,電子零組件業,413297,405149
3356,1110912,奇偶,光電業,132303,99730
3376,1110912,新日興,電子零組件業,1183511,1184575
3380,1110912,明泰,通信網路業,3058273,2756213
3383,1110912,新世紀,光電業,29107,27411
3406,1110912,玉晶光,光電業,2535097,1946290
3413,1110912,京鼎,半導體業,1379766,1273395
3416,1110912,融程電,電腦及週邊設備業,259619,233540
3419,1110912,譁裕,通信網路業,181487,190773
3432,1110912,台端,電子零組件業,1001,3916
3437,1110912,榮創,光電業,151805,139464
3443,1110912,創意,半導體業,2014285,1940034
3450,1110912,聯鈞,半導體業,602092,637850
3454,1110912,晶睿,光電業,921507,850076
3481,1110912,群創,光電業,15281141,15760183
3494,1110912,誠研,電腦及週邊設備業,53909,55959
3501,1110912,維熹,電子零組件業,625417,515250
3504,1110912,揚明光,光電業,403435,493551
3515,1110912,華擎,電腦及週邊設備業,1192075,989566
3518,1110912,柏騰,其他電子業,22510,35045
3528,1110912,安馳,電子通路業,551377,580146
3530,1110912,晶相光,半導體業,125098,134294
3532,1110912,台勝科,半導體業,1394766,1382833
3533,1110912,嘉澤,電子零組件業,2372149,2236848
3535,1110912,晶彩科,光電業,155401,114053
3536,1110912,誠創,半導體業,40883,37043
3543,1110912,州巧,光電業,237089,281091
3545,1110912,敦泰,半導體業,745879,636014
3550,1110912,聯穎,電子零組件業,304493,324052
3557,1110912,嘉威,其他,392978,359103
3563,1110912,牧德,光電業,132720,163991
3576,1110912,聯合再生,光電業,1544244,1280849
3583,1110912,辛耘,半導體業,470253,493879
3588,1110912,通嘉,半導體業,102656,110149
3591,1110912,艾笛森,光電業,154570,147124
